lat,long,category,year,month,day,sst_value,date
29.9,-69.7,0,1981,9,1,300.78997802734375,1981-09-01
30.1,-68.4,0,1981,9,1,300.4700012207031,1981-09-01
30.4,-67.3,0,1981,9,1,300.6099853515625,1981-09-01
31.3,-66.6,0,1981,9,1,300.2799987792969,1981-09-01
31.9,-65.9,0,1981,9,2,299.8599853515625,1981-09-02
32.6,-65.1,0,1981,9,2,299.6300048828125,1981-09-02
33.3,-64.4,0,1981,9,2,299.3899841308594,1981-09-02
34.1,-64.1,0,1981,9,2,299.75,1981-09-02
35.0,-64.0,0,1981,9,3,299.66998291015625,1981-09-03
36.0,-65.0,0,1981,9,3,298.8299865722656,1981-09-03
35.0,-65.8,0,1981,9,3,298.7799987792969,1981-09-03
34.2,-65.0,0,1981,9,3,298.9700012207031,1981-09-03
34.6,-63.6,1,1981,9,4,299.30999755859375,1981-09-04
35.3,-62.7,1,1981,9,4,299.1300048828125,1981-09-04
36.2,-61.9,1,1981,9,4,299.2799987792969,1981-09-04
37.1,-61.2,1,1981,9,4,298.5299987792969,1981-09-04
38.2,-60.9,1,1981,9,5,298.4599914550781,1981-09-05
38.6,-60.8,1,1981,9,5,298.91998291015625,1981-09-05
39.0,-60.8,1,1981,9,5,299.05999755859375,1981-09-05
39.4,-59.9,1,1981,9,5,298.4599914550781,1981-09-05
39.9,-59.0,1,1981,9,6,298.17999267578125,1981-09-06
40.3,-58.4,1,1981,9,6,297.94000244140625,1981-09-06
40.8,-58.0,1,1981,9,6,296.8999938964844,1981-09-06
41.2,-57.4,1,1981,9,6,295.5299987792969,1981-09-06
41.6,-56.8,1,1981,9,7,293.8599853515625,1981-09-07
41.9,-55.9,1,1981,9,7,295.1499938964844,1981-09-07
42.0,-55.0,1,1981,9,7,294.80999755859375,1981-09-07
42.3,-54.1,1,1981,9,7,295.07000732421875,1981-09-07
42.7,-53.4,0,1981,9,8,294.54998779296875,1981-09-08
42.9,-52.5,0,1981,9,8,290.8599853515625,1981-09-08
42.2,-51.9,0,1981,9,8,292.6099853515625,1981-09-08
